OrderDate,Region,Product,Category,UnitsSold,UnitPrice,Revenue,Cost,Profit,OnTimeDelivery
2024-01-02,North,Product_A,Electronics,67,18.93,1268.31,1003.1871044104696,265.12289558953034,0
2024-01-09,West,Product_D,Electronics,110,448.81,49369.1,27093.02558206356,22276.074417936437,0
2024-01-14,North,Product_A,Furniture,148,470.71,69665.08,36009.25166139118,33655.82833860882,0
2024-01-15,West,Product_B,Furniture,56,60.53,3389.6800000000003,2404.803439633535,984.8765603664651,1
2024-01-21,South,Product_A,Electronics,61,332.76,20298.36,12732.483319085539,7565.876680914462,0
2024-01-21,North,Product_A,Electronics,195,419.63,81827.85,56424.48918655456,25403.360813445448,1
2024-01-22,East,Product_D,Electronics,131,66.88,8761.279999999999,4646.429223958323,4114.850776041676,1
2024-02-04,East,Product_A,Furniture,195,480.98,93791.1,54934.72525670119,38856.37474329882,0
2024-02-10,West,Product_D,Furniture,59,377.93,22297.87,17667.013625004554,4630.856374995445,0
2024-02-13,North,Product_D,Furniture,53,409.09,21681.77,17145.743391313033,4536.026608686967,0
2024-02-18,North,Product_D,Office Supplies,108,354.79,38317.32,28606.10246611427,9711.21753388573,0
2024-02-19,North,Product_B,Office Supplies,157,43.99,6906.43,5448.943712920646,1457.486287079354,0
2024-02-20,North,Product_A,Furniture,30,205.27,6158.1,4580.640304538529,1577.4596954614717,0
2024-02-22,South,Product_B,Electronics,96,234.54,22515.84,16297.268140307877,6218.571859692123,0
2024-02-22,South,Product_C,Electronics,113,390.44,44119.72,24549.81586792629,19569.904132073712,1
2024-02-23,West,Product_D,Office Supplies,194,56.28,10918.32,5600.530118954464,5317.789881045535,0
2024-02-24,North,Product_D,Office Supplies,54,321.2,17344.8,13802.99737553848,3541.8026244615194,0
2024-02-28,East,Product_D,Office Supplies,165,242.35,39987.75,28466.18628569316,11521.563714306842,0
2024-03-05,South,Product_A,Furniture,17,257.57,4378.69,2595.942643447034,1782.7473565529658,0
2024-03-12,East,Product_A,Office Supplies,192,22.42,4304.64,3379.926464697985,924.7135353020153,0
2024-03-21,East,Product_C,Office Supplies,55,105.94,5826.7,3304.1977616903882,2522.5022383096116,1
2024-03-28,East,Product_A,Office Supplies,22,132.62,2917.6400000000003,2117.3674066205663,800.272593379434,0
2024-03-29,East,Product_A,Furniture,69,22.99,1586.31,798.5581200693013,787.7518799306987,1
2024-04-01,North,Product_A,Electronics,70,471.32,32992.4,26019.514476487446,6972.885523512556,1
2024-04-09,North,Product_A,Electronics,29,279.12,8094.4800000000005,5969.466221357402,2125.0137786425985,0
2024-04-12,West,Product_D,Office Supplies,50,399.64,19982.0,15418.40279584292,4563.59720415708,1
2024-04-12,West,Product_C,Electronics,164,351.03,57568.92,36529.417313738435,21039.502686261563,1
2024-04-15,West,Product_B,Office Supplies,129,344.67,44462.43,34117.93149383476,10344.49850616524,0
2024-04-16,East,Product_B,Office Supplies,103,48.44,4989.32,3916.7089520337768,1072.611047966223,0
2024-05-01,East,Product_B,Office Supplies,165,210.39,34714.35,20410.761405749014,14303.588594250985,1
2024-05-08,East,Product_D,Electronics,151,15.31,2311.81,1726.3699470686636,585.4400529313364,0
2024-05-10,South,Product_B,Office Supplies,71,147.17,10449.07,6774.4047119775805,3674.665288022419,1
2024-05-10,East,Product_C,Furniture,17,316.67,5383.39,2826.550076980534,2556.8399230194664,0
2024-05-14,North,Product_C,Furniture,139,429.68,59725.520000000004,39868.05525570425,19857.464744295758,1
2024-05-29,North,Product_D,Office Supplies,108,477.88,51611.04,26696.720239670827,24914.319760329174,0
2024-05-31,East,Product_C,Furniture,62,333.5,20677.0,10904.260577821331,9772.739422178669,0
2024-06-05,West,Product_C,Electronics,172,379.73,65313.560000000005,51980.66038966397,13332.899610336033,1
2024-06-09,North,Product_B,Electronics,155,381.34,59107.7,43057.19258991005,16050.507410089944,0
2024-06-10,East,Product_C,Furniture,184,148.11,27252.24,17902.796397842252,9349.44360215775,1
2024-06-15,East,Product_A,Electronics,177,44.58,7890.66,4208.556457720157,3682.103542279843,0
2024-06-18,West,Product_D,Electronics,141,57.94,8169.54,4284.144635221567,3885.395364778433,0
2024-06-23,East,Product_B,Office Supplies,174,222.59,38730.66,23671.894493915326,15058.765506084677,0
2024-07-06,West,Product_A,Electronics,47,250.89,11791.83,6196.032570624357,5595.797429375643,0
2024-07-06,West,Product_A,Electronics,103,220.21,22681.63,11869.759482147234,10811.870517852767,1
2024-07-07,East,Product_A,Office Supplies,120,481.7,57804.0,38846.101105523536,18957.898894476464,0
2024-07-08,East,Product_A,Electronics,57,96.95,5526.150000000001,3228.8684190495314,2297.281580950469,1
2024-07-08,East,Product_A,Office Supplies,43,94.87,4079.4100000000003,2497.7462080746427,1581.6637919253576,1
2024-07-09,East,Product_D,Furniture,62,423.99,26287.38,13725.66550196821,12561.714498031792,1
2024-07-10,West,Product_A,Furniture,179,131.39,23518.809999999998,12585.388074988321,10933.421925011677,0
2024-07-20,East,Product_C,Furniture,174,67.9,11814.6,8138.1279450338625,3676.472054966138,1
2024-07-24,West,Product_A,Electronics,90,453.62,40825.8,31051.276286291184,9774.523713708819,0
2024-07-26,South,Product_B,Office Supplies,9,495.35,4458.150000000001,2838.4908457294882,1619.6591542705123,1
2024-07-31,West,Product_B,Electronics,112,405.35,45399.200000000004,34824.779073286154,10574.42092671385,1
2024-08-02,East,Product_A,Furniture,71,94.91,6738.61,4033.7276576225504,2704.8823423774493,1
2024-08-02,East,Product_B,Office Supplies,105,403.71,42389.549999999996,32654.67976308249,9734.870236917504,0
2024-08-04,North,Product_D,Office Supplies,98,466.07,45674.86,27679.224063733414,17995.635936266586,0
2024-08-05,East,Product_C,Furniture,90,21.4,1925.9999999999998,1283.017005527083,642.9829944729167,0
2024-08-23,South,Product_C,Electronics,134,29.96,4014.6400000000003,2851.5616141763126,1163.0783858236878,0
2024-08-24,South,Product_B,Electronics,107,212.18,22703.260000000002,15575.339480709115,7127.920519290887,0
2024-08-29,East,Product_B,Furniture,146,291.98,42629.08,22834.069537407486,19795.010462592516,0
2024-08-31,East,Product_D,Electronics,157,32.2,5055.400000000001,3670.2884233274162,1385.1115766725843,0
2024-09-08,South,Product_A,Electronics,51,430.62,21961.62,14826.220121743903,7135.399878256096,1
2024-09-08,East,Product_D,Furniture,12,148.2,1778.3999999999999,913.4465528397747,864.9534471602252,1
2024-09-09,East,Product_C,Furniture,159,32.54,5173.86,2717.477051965842,2456.382948034158,0
